data,hora,intensidade,tipo
2025-12-05,08:53:20,Fraca,MQTT
2025-12-05,08:53:21,Fraca,MQTT
2025-12-05,08:53:21,Fraca,MQTT
2025-12-05,08:53:23,Fraca,MQTT
2025-12-05,08:53:24,Fraca,MQTT
2025-12-05,08:53:24,Fraca,MQTT
2025-12-05,08:53:24,Fraca,MQTT
2025-12-05,08:53:25,Fraca,MQTT
2025-12-05,08:53:25,M̩dia,MQTT
2025-12-05,08:53:26,Fraca,MQTT
2025-12-05,08:53:26,Fraca,MQTT
2025-12-05,08:53:26,Fraca,MQTT
2025-12-05,08:53:28,Fraca,MQTT
2025-12-05,08:53:29,Fraca,MQTT
2025-12-05,08:53:29,Forte,Simulada
2025-12-05,08:53:29,Fraca,MQTT
2025-12-05,08:53:30,Fraca,MQTT
2025-12-05,08:53:30,Fraca,MQTT